,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,class,file
count,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0,1842.0
mean,46.77524429967427,47.45819761129207,41.587404994571116,53.127035830618894,35.756786102062975,55.32736156351792,31.184039087947884,55.639522258414765,26.719326818675352,55.087404994571116,21.13300760043431,52.57111834961998,16.42725298588491,46.57654723127036,18.32356134636265,46.9771986970684,27.01628664495114,50.754614549402824,31.305646036916396,51.29153094462541,35.732899022801305,50.98642779587405,44.89033659066232,47.762214983713356,16.42725298588491,46.57654723127036,21.733984799131377,44.646036916395225,27.40445168295331,44.011943539630835,31.47502714440825,45.05157437567861,35.72475570032573,44.24972855591748,41.452225841476654,45.244299674267104,46.77524429967427,47.45819761129207,44.89033659066232,47.762214983713356,35.71226927252986,46.91205211726384,31.403365906623236,47.22529858849077,27.252442996742673,46.64549402823018,18.32356134636265,46.9771986970684,1.0,921.5
std,3.1695652729656754,2.823360418014425,3.2943936868853716,2.3827500687396506,3.5039389780089056,2.4624944381244624,3.5475057030680706,2.4722954628911915,3.477552127922753,2.446264186757934,3.177221783362017,2.3734892271634775,2.8889224359449974,2.8748763608859234,2.881995415694215,2.7146615768940943,3.3542850735304626,2.166994250740668,3.441836201416299,2.18140478221384,3.393493656346563,2.176445519124465,3.157967428398117,2.658945133846355,2.8889224359449974,2.8748763608859234,3.0107225138118436,2.6680575838559313,3.3473285006648545,2.63863177494352,3.464364348833438,2.6667221602590248,3.3810549234628957,2.6327982755086006,3.1421419254133878,2.630005395328448,3.1695652729656754,2.823360418014425,3.157967428398117,2.658945133846355,3.3889220039656935,2.6458285496766325,3.4762560113234473,2.634693229127682,3.3403377977702693,2.653388638298678,2.881995415694215,2.7146615768940943,0.0,531.8839159064692
min,28.0,33.0,22.0,40.0,16.0,43.0,13.0,43.0,11.0,43.0,7.0,40.0,5.0,34.0,7.0,34.0,11.0,39.0,13.0,39.0,16.0,39.0,26.0,34.0,5.0,34.0,8.0,31.0,10.0,29.0,12.0,30.0,15.0,29.0,21.0,30.0,28.0,33.0,26.0,34.0,15.0,32.0,12.0,32.0,11.0,32.0,7.0,34.0,1.0,1.0
25%,45.0,46.0,40.0,52.0,34.0,54.0,29.0,54.0,25.0,54.0,19.0,51.0,15.0,45.0,17.0,45.0,25.0,50.0,29.0,50.0,34.0,50.0,43.0,46.0,15.0,45.0,20.0,43.0,26.0,42.0,30.0,43.0,34.0,43.0,40.0,44.0,45.0,46.0,43.0,46.0,34.0,45.0,29.0,46.0,25.0,45.0,17.0,45.0,1.0,461.25
50%,47.0,48.0,42.0,53.0,36.0,56.0,31.0,56.0,27.0,55.0,21.0,53.0,16.0,47.0,18.0,47.0,27.0,51.0,31.0,51.0,36.0,51.0,45.0,48.0,16.0,47.0,22.0,45.0,27.0,44.0,32.0,45.0,36.0,44.0,42.0,45.0,47.0,48.0,45.0,48.0,36.0,47.0,32.0,47.0,27.0,47.0,18.0,47.0,1.0,921.5
75%,49.0,49.0,44.0,55.0,38.0,57.0,33.0,57.0,29.0,57.0,23.0,54.0,18.0,48.75,20.0,49.0,29.0,52.0,33.0,53.0,38.0,52.0,47.0,50.0,18.0,48.75,24.0,46.0,29.0,46.0,34.0,47.0,38.0,46.0,43.0,47.0,49.0,49.0,47.0,50.0,38.0,49.0,34.0,49.0,29.0,48.0,20.0,49.0,1.0,1381.75
max,61.0,58.0,62.0,60.0,60.0,64.0,58.0,65.0,56.0,64.0,50.0,60.0,45.0,57.0,47.0,58.0,56.0,60.0,59.0,60.0,60.0,59.0,61.0,58.0,45.0,57.0,51.0,57.0,57.0,56.0,59.0,57.0,61.0,57.0,62.0,57.0,61.0,58.0,61.0,58.0,60.0,59.0,59.0,59.0,56.0,59.0,47.0,58.0,1.0,1842.0
