,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,class,file
count,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0,6599.0
mean,45.135778148204274,48.8477041976057,40.627973935444764,52.871041066828305,35.774056675253824,54.47446582815578,31.877254129413547,54.79815123503561,28.074253674799213,54.44688589180179,23.355963024700714,52.793605091680554,19.069252917108653,48.73980906197909,20.942718593726322,48.85346264585543,28.22139718139112,50.24367328383088,31.869828761933626,50.61782088195181,35.606152447340506,50.27110168207304,43.248370965297774,48.94938627064707,19.069252917108653,48.73980906197909,23.623579330201547,46.446128201242615,28.386270647067736,45.36081224427944,31.885740263676315,46.28246704046067,35.505379602970145,45.39066525231095,40.39521139566601,46.543112592817096,45.135778148204274,48.8477041976057,43.248370965297774,48.94938627064707,35.56099409001364,48.16896499469617,31.8843764206698,48.506440369752994,28.32217002576148,48.13153508107289,20.942718593726322,48.85346264585543,0.27913320200030306,3300.0
std,3.576733078930567,3.3348068998821847,3.7569714124444675,2.9097065543062177,3.952700768088797,2.9867710622008494,4.042750029756418,2.965220685550156,4.047527877441273,2.9249253780176074,3.933342036728916,2.850761296906736,3.69074589298317,3.4620501839397617,3.692285437682688,3.2370079436389303,3.748649119479481,2.7222705227382336,3.76936613811002,2.742681414871259,3.677912045281747,2.773231916158851,3.580620431959006,3.1229987836382875,3.69074589298317,3.4620501839397617,3.4771799924132996,3.15946301029456,3.5099217642624394,3.0539730592882015,3.584722393801261,3.093017918127514,3.466016523356151,3.0256773453114314,3.3740555846376146,3.071776607901143,3.576733078930567,3.3348068998821847,3.580620431959006,3.1229987836382875,3.5597613062617577,3.015485043928024,3.6585215752467426,3.0242396573929353,3.5976202628695444,3.0504952054921097,3.692285437682688,3.2370079436389303,0.44860712693509897,1905.1115452907213
min,28.0,33.0,22.0,33.0,16.0,33.0,13.0,33.0,11.0,33.0,7.0,34.0,5.0,34.0,7.0,33.0,11.0,31.0,13.0,31.0,16.0,30.0,26.0,33.0,5.0,34.0,8.0,29.0,10.0,27.0,12.0,28.0,15.0,27.0,21.0,29.0,28.0,33.0,26.0,33.0,15.0,30.0,12.0,30.0,11.0,30.0,7.0,33.0,0.0,1.0
25%,43.0,47.0,38.0,51.0,33.0,53.0,29.0,53.0,26.0,53.0,21.0,51.0,17.0,46.0,19.0,47.0,26.0,49.0,30.0,49.0,33.0,49.0,41.0,47.0,17.0,46.0,21.0,44.0,26.0,43.0,30.0,44.0,34.0,43.0,38.0,44.0,43.0,47.0,41.0,47.0,34.0,46.0,30.0,47.0,26.0,46.0,19.0,47.0,0.0,1650.5
50%,45.0,49.0,41.0,53.0,36.0,55.0,32.0,55.0,28.0,55.0,23.0,53.0,19.0,49.0,21.0,49.0,28.0,51.0,32.0,51.0,36.0,51.0,43.0,49.0,19.0,49.0,24.0,46.0,28.0,45.0,32.0,46.0,36.0,45.0,41.0,47.0,45.0,49.0,43.0,49.0,36.0,48.0,32.0,49.0,28.0,48.0,21.0,49.0,0.0,3300.0
75%,47.0,51.0,43.0,55.0,38.0,56.0,34.0,57.0,30.0,56.0,26.0,55.0,21.0,51.0,23.0,51.0,30.0,52.0,34.0,52.0,38.0,52.0,46.0,51.0,21.0,51.0,26.0,49.0,30.0,47.0,34.0,48.0,38.0,47.0,43.0,49.0,47.0,51.0,46.0,51.0,38.0,50.0,34.0,51.0,30.0,50.0,23.0,51.0,1.0,4949.5
max,61.0,60.0,62.0,62.0,60.0,65.0,58.0,65.0,56.0,65.0,50.0,62.0,45.0,59.0,47.0,59.0,56.0,61.0,59.0,61.0,60.0,61.0,61.0,59.0,45.0,59.0,51.0,57.0,57.0,56.0,59.0,57.0,61.0,57.0,62.0,58.0,61.0,60.0,61.0,59.0,60.0,59.0,59.0,59.0,56.0,59.0,47.0,59.0,1.0,6599.0
